190001;The Lady Ermetta;Ernest Favenc;Jan;2019;http://gutenberg.net.au/ebooks19/1900011h.html
180120;The Phantom Woman;Melville D. Post;Dec;2018;http://gutenberg.net.au/ebooks18/1801201h.html
180119;The Hole in the Glass;Melville D. Post;Dec;2018;http://gutenberg.net.au/ebooks18/1801191h.html
180118;The Garden in Asia;Melville D. Post;Dec;2018;http://gutenberg.net.au/ebooks18/1801181h.html
180117;The Blackmailer;Melville D. Post;Dec;2018;http://gutenberg.net.au/ebooks18/1801171h.html
180116;The Stolen Treasure;Melville D. Post;Dec;2018;http://gutenberg.net.au/ebooks18/1801161h.html
180115;Saddle and Ride;Ernest Haycox;Dec;2018;http://gutenberg.net.au/ebooks18/1801151h.html
180114;The Cuneiform Inscription;Melville D. Post;Dec;2018;http://gutenberg.net.au/ebooks18/1801141h.html
180113;The Bradmoor Murder;Melville D. Post;Dec;2018;http://gutenberg.net.au/ebooks18/1801131h.html
180112;Dust;Fred Merrick White;Dec;2018;http://gutenberg.net.au/ebooks18/1801121h.html
180111;The Specimen Case;Ernest Bramah;Nov;2018;http://gutenberg.net.au/ebooks18/1801111h.html
180110;Head of the Mountain;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1801101h.html
180109;The Adventurers;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1801091h.html
180108;The Earthbreakers;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1801081h.html
180107;Murder on the Frontier;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1801071h.html
180106;Sundown Jim;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1801061h.html
180105;Letters from Christopher;Ruth Mary Tristram;Nov;2018;http://gutenberg.net.au/ebooks18/1801051h.html
180104;Stampede;Stewart Edward White;Nov;2018;http://gutenberg.net.au/ebooks18/1801041h.html
180103;Folded Hills;Stewart Edward White;Nov;2018;http://gutenberg.net.au/ebooks18/1801031h.html
180102;Ranchero;Stewart Edward White;Nov;2018;http://gutenberg.net.au/ebooks18/1801021h.html
180101;The Long Rifle;Stewart Edward White;Nov;2018;http://gutenberg.net.au/ebooks18/1801011h.html
180100;The Outlet;Andy Adams;Nov;2018;http://gutenberg.net.au/ebooks18/1801001h.html
180099;Whispering Range;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1800991h.html
180098;Blizzard Camp;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1800981h.html
180097;Dead Man Range;Ernest Haycox;Nov;2018;http://gutenberg.net.au/ebooks18/1800971h.html
